"Marxist";"Marx";
"animosity";;
"abdicate";"abdicat";
"abduct";;
"ably";;
"abroad";;
"absorb";;
"absorption";;
"absurd";;
"abundant";;
"accede";;
"acclaim";;
"accommodate";"accommodat";
"accompany";;
"accordance";;
"accrue";"accru";
"accumulate";"accumulat";
"acknowledge";;
"acoustic";;
"acquire";;
"acquit";;
"acute";;
"additive";;
"adduce";;
"adequate";"adequa";
"adhere";;
"adjacent";;
"adjustment";;
"admissible";;
"admittedly";;
"adobe";;
"advantageous";;
"adverse";"advers";
"advisability";;
"advocate";;"(v)"
"aesthetic";;
"affect";;
"affirm";;
"ailment";;
"alleged;"alleg";
"allocate";"allocat";
"allude";;
"aloud";;
"alter";;
"altruistic";;
"amass";;
"ambiguity";;
"amino acid";;
"amorphous";;
"amphibian";;
"analog";"analog$";
"analogous";"analogous|disanalogous";
"analogue";;
"analogy";;
"analyses";"analysis";
"anarchism";;
"anatomical";;
"ancient";;
"anecdote";;
"anesthesia";;
"animosity";;
"antagonize";"antagon";
"anthropologist";;
"antipathy";;
"apathy";"apath";
"apex";;
"apparent";;
"appeal";;
"applicable";"applicabl";
"application";;
"appropriations;"appropriation";
"apt";"apt";
"arbitrary";;
"archaeologist";;
"archetypal";"archetypal|archetypical";
"architecture";;
"ardent";;
"arise";;
"array";;
"ascribe";"ascrib";
"asocial";;
"aspect";;
"aspiration";"aspir";
"assert";;
"assertion";;
"assess";;
"asset";;
"associate";"associat";(v)
"assume;"assum";
"asteroid";;
"atom";;
"attain";;
"attitudinal";;
"attribute";;
"authoritative";;
"auxiliary";;
"avant-garde";;
"avoidance";;
"basis";;
"bear";;
"benefit";;
"bias";;
"binary";;
"biochemical";;
"biodiversity";;
"biologist";"biolog";
"bombard";;
"botanical";;
"bound";;
"brief";;
"bull-headed";;
"burdensome";;
"by-product";;
"canon";"canon";
"capacity";;
"capricious";;
"carbohydrate";;
"carbon dioxide";;
"carnivorous";;
"cartographer";;
"cast";;"manual" (doubt)
"catalogue";;
"catastrophic";"catastroph";
"cautious";;
"cease";;
"celestial";;
"cellulose";;
"censorship";"censor";
"centaur";;
"centrality";"central";
"century";;
"characteristic";;
"chronicle";;
"circumvent";;
"cite";"cite|citation";
"civic";;
"civil liberties";;
"civility";;
"clarify";;
"climactic";;
"climatologist";;
"coherence";"cohere";
"cohesiveness";"cohesiv";
"coin";"coin";"manual"
"coincide";;
"collaboration";"collabor";
"collective";"collectiv";
"collude";"collu";
"colonial";;
"colony";;
"combatant";;
"commemorate";"commemorat";
"commend";;
"commensurate";;
"commentator";;
"commercial";"commerc";
"commonplace";;
"commonsense";;
"communal";;
"compatible";"compatib";
"compatriot";;
"compel";"compel";
"compelling";;
"compensate";"compensat";
"compile";;
"complacent";;
"component";;
"compose";"compos";
"composition";;
"compositional";;
"compound";;
"comprehensible";;
"conceivably";"conceiv";
"conceptual";;
"conclusive";;
"concur";;
"condition";;
"conditional";;
"conducive";;
"conduct";"conduct";
"confine";;
"confiscate";"confiscat";
"conflate";"conflat";
"conform";;
"conformity";;
"congestion";"congest";
"conglomerate";;
"conjecture";;
"conjunction";"conjunction"; (in ___ with)
"conscientious";;
"conscious";;
"consensus";;
"consideration";;
"consistent";"consisten";
"constitute";"constitut";
"constraint";"constrain";
"construct";;
"consultation";"consult";
"consumption";"consum";
"contain";;
"contaminant";;
"contemporary";;
"contend";"contend|contention";
"contingency";"contingen";
"continuity";"continuit";
"continuous";;
"continuum";;
"contort";;
"contractor";;
"contradict";;
"contrary";"contrar";
"contrast";;
"contribute";"contribut";
"contributing factor";;"manual"
"conundrum";;
"convention (as in custom)";"convention";
"convey";;
"conviction";;
"convoluted";;
"corporate";;
"corrective";;
"correlate";"correlat";
;;
"correspondence";;
"corresponding";"correspond";
"corroborate";"corroborat";
"corrosion";"corrode|corrosion";
"cosmopolitan";;
"counter";;
"counteract";;
"counterargument";;
"counterexample";;
"counterintuitive";;
"criteria";"criteria|criterion";
;;
"critic";"critic";
;;
"critique";;
"crude";;
"curator";"curator|curate";
"cynical";"cynic";
"data";;
"de facto";;"manual"
"deceive";;
"decelerate";"decelerat";
"deception";;
"decimate";;
"decipher";;
"decisive";"decisive";
"decompose";"decompos";
"deduce";;
"deem";;
"defect";;
"defendant";;
"deficiency";"deficien";
"deficit";;
"definitive";;
"degree";;
"delegate";"delegate";
"deliberately";"deliberate";
"delinquent";"delinquent";
"demolish";;
"denounce";;
"depict";;
"deplete";"deplet";
"deride";"deride|derision";
"derive";;
"designated";;
"deterioration";"deterior";
"detoxify";"detoxi";
"detract";;
"detrimental";"detriment";
"devise";;
"devoid";;
"devote";"devot";
"dialectical";"dialectic";
"dictate";;
"diffuse";;
"diligence";;
"disanalogous";;
"discern";;
"disclosure";"disclos";
"discrepancy";;
"discretion";;
"discretionary";;
"disembody";;
"disenchantment";"disenchant";
"disguise";;
"disinterested";;
"disparate";;
"displacement";;
"disproportionately";"disproportionate";
"dissolution";;
"dissuade";;
"distillation";;
"distinction";;
"distinctive";;
"distinguished";"distinguish";
"distribution";"distribut";
"diverse";"diversity|diverse";
"diversion";;
"dividend";;
"doctrine";;
"domestic";;
"dosage";;
"drastic";"drastic";
"dredge";;
"drought";;
"dues";;
"duplicate";"duplicat";
"dwindle";"dwindl";
"ecological";"ecological";
"ecologist";;
"economic sphere";;
"economic";;
"ecosystem";;
"editorial";;
"editorialist";;
"effect";"affect";
"affect";"effect";
"efficiency";;
"egregious";;
"elicit";;
"eliminate";"eliminat";
"embed";;
"embellish";"embellish";
"embody";"embod";
"emergence";"emergent|emergence";
"eminence";"eminen";
"emission";;
"emit";;
"empirical";;
"employ";"employ";
"emulate";;
"enable";"enabl";
"enact";;
"encrust";;
"endeavor";;
"endemic";;
"engender animosity";"engender";
"enterprise";;
"environmental";;
"entitle";;
"environmentalist";;
"enzyme";;
"epidemiological";"epidemiolog";
"epithet";;
"equate";;
"equivocate";;
"eroded";"erode|erosion";
"erratic";;
"erroneous";;
"escalate";"escalat";
"espionage";;
"essence";"essence|essential";
"estimate";"estimat";
"ethical";;
"ethicist";;
"ethnographic";;
"evaluative";;
"evasion";"evasion|evade";
"eventual";;
"evolutionary";;
"exacerbate";"exacerbat";
"exactly";"exact";
"exaggerate";"exaggerat";
"examiners";"examiner";
"exceed";;
"exceptional";"exceptional";
"excessive";"excess";
"exclusion";"exclusi";
"exclusively";"exclusive";
"exemplify";;
"exert";;
"exhibit";;
"exigency";"exigenc";
"expenditure";;
"experimental";;
"expertise";;
"explication";;
"explicit";;
"expository";;
"expropriate";"expropriat";
"extensive";;
"extent";;
"extinction";;
"extrapolate";"extrapolat";
"extraterrestrial";;
"facilitate";"facilitat";
"factionalism";;
"factor";;
"faulty";;
"feasible";;
"feature";;
"fiber";;
"fissure";;
"fixed";;
"fluorescent";;
"flourish";;
"fluctuate";"fluctuat";
"folklorist";;
"forage";"forag";
"forego";;
"forensic";;
"foresight";;
"forgo";;
"formulaic";;
"formulate";;
"fragile";;
"fray";;
"free market";;"manual"
"furthermore";;
"gale";;
"gallop";;
"generalization";"generaliz";
"generically";"generic";
"genetic";;
"geographical";;
"glucose";;
"gratify";;
"gridlock";;
"hamper";"hamper";
"harbor";"harbor";
"harmonious";;
"harness";"harness";
"hatchling";;
"heed";;
"hesitant";;
"hinder";;
"historiographic";"historiograph";
"holistic";;
"humanitarian";;
"humidity";"humid";
"hybrid";;
"hymn";;
"hyperbole";;
"hypocrite";"hypocrit";
"hypothesis";"hypothes";
"iconoclastic";;
"identical";;
"identification";;
"ideology";;
"idyllic";"idyll";
"illegitimate";;
"illuminate";"illuminat";
"illustrate";"illustrat";
"illustrative";;
"imagery";;
"imbue";;
"imitate";"imitat";
"immediacy";;
"immersion";;
"immune-cell";;
"immunity";;
"imperative";;
"impermissible";"impermissibl";
"impetus";;
"implausible";"implausib";
"implement";;
"implication";"implicat";
"implicit";;
"imported";"import$|imported";
"impose";;
"impropriety";;
"improvisation";"improvis";
"imprudent";"impruden";
"in lieu of";;"manual"
"inability";;
"inaccessible";"inaccessib";
"inadvertently";"inadvertent";
"incentive";;
"incinerate";"incinerat";
"inclination";"inclin";
"inclusive";"inclusiv";
"incompatible";"incompatib";
"inconclusive";;
"incorporate";"incorporat";
"incriminate";"incriminat";
"incur";;
"indefinitely";"indefinite";
"indigenous";;
"indignation";;
"indistinguishable";;
"individuality";;
"inductance";;
"inequitably";"inequitab";
"inequity";;
"inertia";;
"inevitable";;
"inexorable";"inexorab";
"infer";"infer$|inference";
"inflammatory";;
"influx";;
"infrastructure";;
"ingenious";;
"ingest";;
"inhabit";;
"inherently";"inherent";
"inhibit";;
"initiative";;
"initiatory";;
"injurious";;
"innate";;
"innovative";"innovativ";
"insight";;
"insist";;
"instance";;
"instantaneous";;
"instrumental";;
"insufficient";;
"integrity";;
"intensity";;
"intermediary";;
"interoffice";;
"intertwines";;
"interval";;
"interwoven";;
"intimate";;
"intricacy";;
"intuition";"intuit";
"invariably";;
"invasive";;
"inventive";;
"inventory";;
"irrelevant";;
"irrigation";"irrigat";
"jointly";"joint";
"jurisdiction";;
"justification";"justif";
"juxtapose";"juxtapos";
"lamentable";"lament";
"latter";;
"lax";;
"legitimate";;
"lien";;
"linear";;
"linguist";"linguist";
"liquidate";"liquidat";
"literally";"literal";
"literary";;
"longevity";;
"lyricism";;
"magnitude";;
"maintenance";;
"mammal";;
"manifest";;
"manuscript";;
"marginally";"marginal";
"markedly";"marked";
"market";"market";
"medium";;
"memorabilia";;
"mendacity";;
"mere";;
"merit";"merit";
"metabolic";;
"metabolize";;
"metaphor";;
"methodology";;
"microbial";;
"migration";;
"milieu";;
"miniscule";;
"minute";;
"mischaracterize";"mischaracteriz";
"misconstrue";;
"mishap";;
"misinformation";"misinform";
"misinterpret";;
"modular";;
"monarch";;
"monopoly";"monopol";
"morale";;
"moralist";;
"motif";;
"mulch";;
"multinational";;
"multitudinous";;
"municipal";;
"muster;;"manual (pass muster)"
"mutation";;
"mutually exclusive";;"manual"
"mythic proportions";;
"narration";;
"narrative";;
"naturalist";;
"necessarily";;
"necessitate";;
"negative correlation";;"manual"
"neglect";;
"nestmate";;
"neural";;
"neurochemical";;
"neutron";;
"nevertheless";;
"noncognitive";;
"noncompliance";;
"nonliterate";;
"notoriously";"notorious";
"novelistic";;
"noxious";;
"nuclear fission";;"manual"
"nuclei";;
"nullify";;
"numerous";;
"objectionable";;
"objective";"objective";
"objectively";;
"objectivity";;
"obligation";"oblig";
"oblige";;
"obstacle";;
"olfactory";;
"omit";;
"omnipotence";"omnipoten";
"omniscience";"omniscien";
"onerous";;
"orbit";;
"organic";;
"organism";;
"oriented";"orient";
"outcompete";;
"outright";;
"overarching";;
"overdue";;
"overinclusive";;
"overlook";;
"paleontologist";"paleontolo";
"palpable";;
"panelist";;
"parachute";"parachut";
"paradox";;
"partake";"partak";
"particle ";;
"passage";"passag";
"passive";;
"pasteurize";"pasteuriz";
"patent";;
"paternalistic";;
"patronage";;
"peer review";;
"penalize";"penal";
"per-capita";;
"perceive";;
"perception";;
"periodic";;
"permissibility";;
"permissible";;
"permit";"permi";
"perniciousness";"pernicious";
"personify";"personif";
"pessimism";;
"pesticide";;
"pharmaceutical";;
"pharmacological";;
"phase";"phase"; (v)
"phenomena/phenomenon";"phenomena|phenomenon";
;;
;;
"philanthropic";;
"philosophical";;
"philosopher";;
"photosynthesis";"photosynthesi";
"physician";;
"phytoplankton / plankton";"plankton";
"phytoplankton";;
"pigment";;
"piracy";;
"plagiarism";;
"plankton";;
"plausible";;
"plural";;
"pollinate / pollination";"pollinat";
;;
;;
"polymer";;
"populous";;
;;
"postimpressionist";;
"practitioner";;
"pragmatic";;
"procedure";;
"precise";;
"precondition";;
"predecessors";"predecessor";
"predisposed";"predispose";
"prefatory";;
"premise";;
"preponderance";;
"preservation";;
"preside";;
"prestige";;
"presume";"presum";
"presuppose";"presuppos";
"prevailing";;
"prevalence";"prevalen";
"primarily";;
"primary";;
"primate";;
"primer";"primer"; (paint)
"principle";;
"pristine";;
"privileges";"privilege";
;;
"proceeds";"proceeds"; (n)
"prohibitively";"prohibitive";
"projection";;
"proliferate";"proliferat";
"prominence";"prominen";
"promote";"promot";
"properly";;
"proponent";;
"proportional";;
"prospective";;
"prosperity";;
"protagonist";;
"protein";;
"proton";;
"proximity";;
"prudent";"pruden";
"psychoactive";;
"pummel";;
"purge";;
"purportedly";"purported";
"pursuer";"pursue";
"putative";;
"quintessential";;
"radii";;
"radioactive";;
"radius";;
"ramification";;
"rash";"rash"; (adj)
"realism";;
"reasonable";;
"rebutt";"rebut";
;;
"receptivity";"receptiv";
"recession";;
"reconcile";"reconcil";
"reconstruction";"reconstruct";
"recount";;
"recyclable";;
"redeem";"redeem|redemption";
"reduction";;
"redundant";;
"reevaluated";;
"referendum";;
"refrain";;
"refute";;
"regime";;
"regulator";;
"rehabilitate";"rehabilitat";
"relation";;
"relative";;
"relevant";;
"reliance";;
"rely";;
"remarkably";;
"render";;
"renege";"reneg";
"repetitive";"repetiti";
"reportorial";;
"reprimand";;
"repudiate";"repudiat";
"resent";"^resent";
"reserve";"reserv";
"resolution";;
"respects";;
"respiratory";;
"retention";;
"retrieval";;
"revelation";;
"revenue";;
"reversal";;
"revision";;
"revitalize";;
"rhetoric";;
"rigor";"rigor";
;;
"riparian";;
"ritualize";;
"rousing";;
"rural";;
"salient";;
"salutary";;
"sanction";;
"sanitation";;
"sap";;
"satirical";"satiri";
;;
"scarce";"scarc";
"scenario";;
"scenic";;
"scrutiny";"scrutin";
"secrete";"secrete|secretion";
;;
"selectively";"selective";
"seminar";;
"sequential";;
"sever";;
"shareholder";;
"significant / significantly";"significant";
;;
;;
"similarity";;
"simultaneous";;
"skim";;
"smudged";;
"social cohesion";;"manual"
"socialist";;
"socialization";;
"societal";;
"socioeconomic";;
"sociopolitical";;
"sole";;
"solicit";;
"sought";;
"sought-after";;
"sovereign";;
"spatial";;
"specialized";"speciali";
"spontaneously";"spontaneous";
"sprawl";;
"spur";;
"squarely";;
"squeaky";;
"stark";;
"sterilize";"steriliz";
"stimulate";"stimul";
"strata";"strata|stratum";
"subsequent";;
"subsidiary";;
"substance";;
"substantial";;
"subversion";;
"succession";;
"superfluous";;
"superior";;
"supplant";;
"supposition";;
"susceptible";;
"swath";;
"synthesize";"synthesi";
"systematic";;
"tacit";;
"tactic";;
"tainted";"taint";
"tantamount";;
"tectonic";;
"tend";;
"tentative";;
"terminology";;
"terrain";;
"thematic";;
"theoretical";;
"theorist";;
"thesis";;
"tone";;
"tout";;
"toxin";;
"trace";;
"transformative";;
"transgress";;
"treatise";"treatis";
"ultraviolet";;
"undergo";;
"underlie";"underlie|underlying";
;;
"undermine";"undermin";
"underpinning";"underpin";
"undertake";;
"unfathomable";;
"unfeasible";;
"unfettered";;
"unforeseen";;
"uniform";;
;;
"unionize";;
"universality";"universal";
"unprecedented";;
"unregulated";;
"unsound";;
"unsubstantiated";;
"unyielding";;
"urban";;
"urbanism";;
"urgency";;
"utilitarian";;
"utilize";"utiliz";
"utopian";;
"valve";;
"variant";;
"variation";;
"varnish";;
"vary";;
"vast";;
"vaudeville";;
"vein";;
"verbiage";;
"verdict";;
"verification";"verif";
"versatile";;
"verse";"verse"; (as in poetry)
"vessel";;
"vest";;
"via";;
"viable";;
"vicissitude";"vicissitude";
"vigorous";;
"virtually";"virtual";
"virtuosity";"virtuosity|virtuoso";
"vital";"vital";
"vivid";;
"voltage";;
"voluntarily";"voluntar";
"vulnerable";"vulnerab";
"wage war";;
"warehouse";"warehouse";
"weather";"weather";"manual"
"welfare";;
"wholesale";;
"wholly";;
"widespread";;
"withstand";;
"yield";;
"zero-sum";;
